no,tanggal,jam,cuaca,suhu,,
1,1,1,1,4,,
2,1,2,1,5,,
3,1,3,2,5,,
4,1,4,2,5,,
5,1,5,1,5,,
6,1,6,1,5,,
7,1,7,2,6,,
8,1,8,2,6,,
9,1,9,2,7,,
10,1,10,2,8,,
11,1,11,2,10,,
12,1,12,2,10,,
13,1,13,2,10,,
14,1,14,2,10,,
15,1,15,2,10,,
16,1,16,2,10,,
17,1,17,2,9,,
18,1,18,2,9,,
19,1,19,2,9,,
20,1,20,2,8,,
21,1,21,2,9,,
22,1,22,2,8,,
23,1,23,2,9,,
24,1,0,2,9,,
25,2,1,2,9,,
26,2,2,2,9,,
27,2,3,2,7,,
28,2,4,1,6,,
29,2,5,2,6,,
30,2,6,2,7,,
31,2,7,2,6,,
32,2,8,2,6,,
33,2,9,2,7,,
34,2,10,2,10,,
35,2,11,2,10,,
36,2,12,2,11,,
37,2,13,2,11,,
38,2,14,1,12,,
39,2,15,2,12,,
40,2,16,2,11,,
41,2,17,2,11,,
42,2,18,2,11,,
43,2,19,2,10,,
44,2,20,2,10,,
45,2,21,2,9,,
46,2,22,2,9,,
47,2,23,2,9,,
48,2,0,2,9,,
49,3,1,2,9,,
50,3,2,2,9,,
51,3,3,2,10,,
52,3,4,2,9,,
53,3,5,2,10,,
54,3,6,2,10,,
55,3,7,2,9,,
56,3,8,2,9,,
57,3,9,2,9,,
58,3,10,2,11,,
59,3,11,2,12,,
60,3,12,2,12,,
61,3,13,2,12,,
62,3,14,2,12,,
63,3,15,2,12,,
64,3,16,2,12,,
65,3,17,2,12,,
66,3,18,2,11,,
67,3,19,2,11,,
68,3,20,2,10,,
69,3,21,2,9,,
70,3,22,2,8,,
71,3,23,2,6,,
72,3,0,2,5,,
73,4,1,2,7,,
74,4,2,2,8,,
75,4,3,2,9,,
76,4,4,2,9,,
77,4,5,2,9,,
78,4,6,2,8,,
79,4,7,2,8,,
80,4,8,2,8,,
81,4,9,2,8,,
82,4,10,2,9,,
83,4,11,2,9,,
84,4,12,2,9,,
85,4,13,2,9,,
86,4,14,2,9,,
87,4,15,2,9,,
88,4,16,2,9,,
89,4,17,2,9,,
90,4,18,2,9,,
91,4,19,2,9,,
